Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 3/9/2021 12:25:14 π.μ.

AvgTimes  	MaxTimes 	MinTimes 	Level
5,68156	6,236	5,465	0
5,662441	5,921	5,436	1
5,661839	6,101	5,478	2
5,598	6,098	5,317	3
5,51052	5,998	5,32	4
5,485159	5,846	5,342	5
5,47744	5,92	5,314	6
5,473441	5,937	5,323	7
5,45968	5,898	5,325	8
5,47704	5,872	5,364	9
5,516321	5,938	5,341	9
5,43628	5,95	5,278	10
5,45652	5,76	5,343	12
5,460159	5,806	5,306	13
5,43324	5,845	5,269	13
5,44632	5,642	5,281	15
5,413799	5,619	5,269	16
5,40216	5,572	5,294	17
5,414679	5,579	5,305	18
5,3924	5,51	5,284	19
