Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 2/9/2021 8:06:51 μ.μ.

AvgTimes  	MaxTimes 	MinTimes 	Level
5,688441	5,822	5,515	0
5,63332	5,809	5,365	1
5,617201	5,876	5,392	2
5,57064	5,803	5,407	3
5,511961	5,863	5,306	4
5,51752	5,821	5,315	5
5,48332	5,718	5,336	6
5,4546	5,7	5,332	8
5,50436	5,778	5,334	9
5,49096	5,742	5,375	10
5,482799	5,735	5,317	11
5,47592	5,68	5,326	12
5,52572	5,76	5,316	13
5,502441	5,758	5,321	14
5,518159	5,713	5,328	15
5,510639	5,788	5,319	16
5,467761	5,674	5,171	17
5,497001	5,74	5,318	18
5,491	5,749	5,28	19
