Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 3/9/2021 12:08:57 π.μ.

AvgTimes  	MaxTimes 	MinTimes 	Level
5,66984	5,892	5,522	0
5,633919	5,829	5,381	1
5,56796	5,762	5,306	2
5,53052	5,795	5,398	3
5,52556	5,685	5,346	4
5,530199	5,797	5,32	5
5,53292	5,731	5,363	6
5,498199	5,671	5,286	7
5,51944	5,667	5,334	8
5,50212	5,683	5,303	9
5,476519	5,719	5,244	10
5,47748	5,689	5,21	11
5,4672	5,699	5,214	12
5,44092	5,687	5,265	13
5,41784	5,522	5,194	14
5,44644	5,596	5,309	15
5,408521	5,694	5,201	16
5,392	5,569	5,206	17
5,40808	5,59	5,251	18
5,391399	5,62	5,179	19
