Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 2/9/2021 8:14:28 μ.μ.

AvgTimes  	MaxTimes 	MinTimes 	Level
5,7012	5,867	5,409	0
5,681879	5,812	5,487	1
5,666761	5,836	5,5	2
5,6584	5,863	5,435	3
5,65564	5,859	5,441	4
5,66428	5,952	5,492	5
5,657841	5,878	5,461	6
5,640039	5,86	5,418	7
5,646561	5,798	5,395	8
5,61352	5,895	5,359	9
5,6136	5,782	5,402	10
5,63304	5,86	5,396	11
5,62232	5,838	5,337	11
5,6214	5,838	5,418	12
5,60252	5,755	5,382	14
5,6214	5,864	5,401	14
5,63036	5,836	5,402	15
5,65392	5,836	5,396	16
5,66176	5,848	5,446	17
5,6676	5,979	5,483	18
5,6272	5,862	5,38	19
