Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 3/9/2021 12:00:12 π.μ.

AvgTimes  	MaxTimes 	MinTimes 	Level
5,69288	5,984	5,48	0
5,65432	6,006	5,443	1
5,60068	5,919	5,36	2
5,572281	5,973	5,32	3
5,549719	5,95	5,379	4
5,49968	5,892	5,396	5
5,518559	5,733	5,374	6
5,492519	5,656	5,255	7
5,49188	5,639	5,318	8
5,47508	5,597	5,276	9
5,45188	5,664	5,255	10
5,432319	5,564	5,274	11
5,4376	5,648	5,313	12
5,38556	5,478	5,299	13
5,38932	5,601	5,26	14
5,40484	5,505	5,311	15
5,37508	5,55	5,224	16
5,38116	5,567	5,264	16
5,407	5,562	5,304	17
5,38608	5,555	5,221	18
5,374481	5,517	5,229	19
