Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 12/11/2021 5:41:23 μ.μ.

AvgTimes  	MaxTimes 	MinTimes 	Level
5,69668	6,038	5,418	0
5,643119	5,82	5,337	1
5,62788	5,865	5,302	1
5,56888	5,813	5,32	2
5,52384	5,846	5,303	3
5,51216	5,802	5,261	3
5,5262	5,963	5,322	4
5,46884	5,719	5,303	5
5,48636	5,917	5,259	6
5,460321	5,74	5,242	6
5,4686	5,759	5,336	7
5,452681	5,764	5,262	8
5,48124	5,767	5,308	8
5,484	5,822	5,34	9
5,472559	5,799	5,27	10
5,445201	5,679	5,258	10
5,44924	5,785	5,303	11
5,46788	5,701	5,324	12
5,484759	5,842	5,318	13
5,475601	5,707	5,307	14
5,45432	5,843	5,262	14
5,4238	5,739	5,282	15
5,42788	5,592	5,28	16
5,4296	5,596	5,259	16
5,45876	5,682	5,283	17
5,4278	5,618	5,238	18
5,401	5,496	5,237	19
5,41672	5,525	5,266	19
