Login log 

Mutation:0,4
Population size:25
Sequence length:20

Login date: 20/12/2021 11:45:05 π.μ.

AvgTimes  	MaxTimes 	MinTimes 	Level
5,709839	5,861	5,502	0
5,65164	5,804	5,44	0
5,67708	5,901	5,424	1
5,646	5,942	5,419	2
5,637441	5,821	5,466	2
5,62512	5,862	5,42	3
5,611479	5,842	5,416	4
5,59588	5,883	5,402	4
5,56636	5,825	5,323	5
5,54756	5,883	5,302	6
5,56332	5,876	5,316	6
5,562521	5,779	5,293	7
5,58892	5,824	5,402	8
5,579919	5,861	5,28	8
5,61796	5,8	5,401	9
5,62452	5,84	5,361	10
5,585161	5,822	5,358	10
5,562439	5,823	5,301	11
5,609799	5,84	5,3	12
5,58616	5,86	5,316	12
5,55744	5,791	5,297	13
5,59188	5,821	5,218	14
5,60924	5,839	5,258	14
5,56652	5,861	5,302	15
5,620161	5,82	5,264	16
5,61208	5,856	5,24	16
5,606759	5,792	5,278	17
5,609119	5,838	5,377	18
5,61676	5,865	5,366	19
5,601961	5,828	5,289	19
